Address,USB0::0x2A8D::0x039B::CN60201260::0::INSTR,,
Model,EDUX1052G,,
Serial Number,CN60201260,,
Start Time,2026-05-12 19:14:45,,
,,,
Sample Count,Time(s),1(VOLT),2(VOLT)
1,-0.0500000007451,2.13065361977,2.49246263504
2,-0.0498999990523,2.13065361977,2.49246263504
3,-0.0498000010848,2.13065361977,2.49246263504
4,-0.049699999392,2.17085456848,2.49246263504
5,-0.0496000014246,2.17085456848,2.49246263504
6,-0.0494999997318,2.17085456848,2.45226168633
7,-0.0494000017643,2.17085456848,2.53266382217
8,-0.0493000000715,2.17085456848,2.49246263504
9,-0.0491999983788,2.21105575562,2.53266382217
10,-0.0491000004113,2.21105575562,2.49246263504
11,-0.0489999987185,2.25125670433,2.49246263504
12,-0.048900000751,2.25125670433,2.49246263504
13,-0.0487999990582,2.25125670433,2.53266382217
14,-0.0487000010908,2.25125670433,2.49246263504
15,-0.048599999398,2.25125670433,2.49246263504
16,-0.0485000014305,2.25125670433,2.49246263504
17,-0.0483999997377,2.25125670433,2.49246263504
18,-0.0483000017703,2.29145765305,2.49246263504
19,-0.0482000000775,2.25125670433,2.49246263504
20,-0.0480999983847,2.29145765305,2.49246263504
21,-0.0480000004172,2.29145765305,2.45226168633
22,-0.0478999987245,2.29145765305,2.49246263504
23,-0.047800000757,2.29145765305,2.49246263504
24,-0.0476999990642,2.33165860176,2.53266382217
25,-0.0476000010967,2.29145765305,2.49246263504
26,-0.047499999404,2.29145765305,2.49246263504
27,-0.0474000014365,2.33165860176,2.53266382217
28,-0.0472999997437,2.33165860176,2.45226168633
29,-0.0472000017762,2.29145765305,2.49246263504
30,-0.0471000000834,2.33165860176,2.53266382217
31,-0.0469999983907,2.33165860176,2.49246263504
32,-0.0469000004232,2.33165860176,2.49246263504
33,-0.0467999987304,2.33165860176,2.53266382217
34,-0.0467000007629,2.33165860176,2.49246263504
35,-0.0465999990702,2.33165860176,2.53266382217
36,-0.0465000011027,2.37185978889,2.49246263504
37,-0.0463999994099,2.37185978889,2.49246263504
38,-0.0463000014424,2.33165860176,2.49246263504
39,-0.0461999997497,2.33165860176,2.49246263504
40,-0.0461000017822,2.37185978889,2.49246263504
41,-0.0460000000894,2.33165860176,2.49246263504
42,-0.0458999983966,2.37185978889,2.49246263504
43,-0.0458000004292,2.33165860176,2.49246263504
44,-0.0456999987364,2.41206073761,2.45226168633
45,-0.0456000007689,2.37185978889,2.49246263504
46,-0.0454999990761,2.37185978889,2.49246263504
47,-0.0454000011086,2.37185978889,2.45226168633
48,-0.0452999994159,2.41206073761,2.49246263504
49,-0.0452000014484,2.37185978889,2.49246263504
50,-0.0450999997556,2.41206073761,2.45226168633
51,-0.0450000017881,2.37185978889,2.49246263504
52,-0.0449000000954,2.37185978889,2.49246263504
53,-0.0447999984026,2.37185978889,2.53266382217
54,-0.0447000004351,2.37185978889,2.49246263504
55,-0.0445999987423,2.37185978889,2.49246263504
56,-0.0445000007749,2.37185978889,2.49246263504
57,-0.0443999990821,2.37185978889,2.49246263504
58,-0.0443000011146,2.37185978889,2.53266382217
59,-0.0441999994218,2.41206073761,2.49246263504
60,-0.0441000014544,2.37185978889,2.49246263504
61,-0.0439999997616,2.37185978889,2.49246263504
62,-0.0439000017941,2.41206073761,2.49246263504
63,-0.0438000001013,2.37185978889,2.49246263504
64,-0.0436999984086,2.41206073761,2.45226168633
65,-0.0436000004411,2.41206073761,-2.21105575562
66,-0.0434999987483,2.21105575562,-2.41206073761
67,-0.0434000007808,2.05025172234,-2.53266382217
68,-0.043299999088,1.84924650192,-2.53266382217
69,-0.0432000011206,1.72864353657,-2.53266382217
70,-0.0430999994278,1.52763843536,-2.49246263504
71,-0.0430000014603,1.40703547001,-2.57286477089
72,-0.0428999997675,1.24623131752,-2.53266382217
73,-0.0428000018001,1.12562835217,-2.57286477089
74,-0.0427000001073,1.0050252676,-2.53266382217
75,-0.0425999984145,0.884422242641,-2.49246263504
76,-0.042500000447,0.683417201042,-2.53266382217
77,-0.0423999987543,0.603015184402,-2.53266382217
78,-0.0423000007868,0.482412159443,-2.53266382217
79,-0.042199999094,0.361809104681,-2.53266382217
80,-0.0421000011265,0.281407088041,-2.53266382217
81,-0.0419999994338,0.160804048181,-2.53266382217
82,-0.0419000014663,0.0804020240903,-2.53266382217
83,-0.0417999997735,-0.0402010120451,-2.53266382217
84,-0.041700001806,-0.120603039861,-2.53266382217
85,-0.0416000001132,-0.2010050565,-2.53266382217
86,-0.0414999984205,-0.281407088041,-2.53266382217
87,-0.041400000453,-0.361809104681,-2.53266382217
88,-0.0412999987602,-0.442211121321,-2.49246263504
89,-0.0412000007927,-0.522613167763,-2.53266382217
